          Gradient method with preconditioner	 0.75	    Compute complete	  0.040386	         2	
          Gradient method with preconditioner	 0.76	    Compute complete	  0.027374	         2	
          Gradient method with preconditioner	 0.77	    Compute complete	  0.027594	         2	
          Gradient method with preconditioner	 0.78	    Compute complete	  0.027076	         2	
          Gradient method with preconditioner	 0.79	    Compute complete	  0.028158	         2	
          Gradient method with preconditioner	  0.8	    Compute complete	  0.038472	         2	
          Gradient method with preconditioner	 0.81	    Compute complete	  0.030883	         2	
          Gradient method with preconditioner	 0.82	    Compute complete	  0.028213	         2	
          Gradient method with preconditioner	 0.83	    Compute complete	  0.027194	         2	
          Gradient method with preconditioner	 0.84	    Compute complete	  0.026928	         2	
          Gradient method with preconditioner	 0.85	    Compute complete	  0.027373	         2	
          Gradient method with preconditioner	 0.86	    Compute complete	  0.027376	         2	
          Gradient method with preconditioner	 0.87	    Compute complete	  0.027094	         2	
          Gradient method with preconditioner	 0.88	    Compute complete	  0.027116	         2	
          Gradient method with preconditioner	 0.89	    Compute complete	  0.037245	         2	
          Gradient method with preconditioner	  0.9	    Compute complete	   0.02724	         2	
          Gradient method with preconditioner	 0.91	    Compute complete	  0.041811	         2	
          Gradient method with preconditioner	 0.92	    Compute complete	  0.039588	         2	
          Gradient method with preconditioner	 0.93	    Compute complete	  0.045746	         2	
          Gradient method with preconditioner	 0.94	    Compute complete	  0.044267	         2	
          Gradient method with preconditioner	 0.95	    Compute complete	  0.044275	         2	
          Gradient method with preconditioner	 0.96	    Compute complete	  0.031487	         2	
          Gradient method with preconditioner	 0.97	    Compute complete	  0.031995	         2	
          Gradient method with preconditioner	 0.98	    Compute complete	  0.035653	         2	
          Gradient method with preconditioner	 0.99	    Compute complete	  0.027704	         2	
          Gradient method with preconditioner	    1	    Compute complete	  0.026854	         2	
          Gradient method with preconditioner	 1.01	    Compute complete	   0.02707	         2	
          Gradient method with preconditioner	 1.02	    Compute complete	  0.026732	         2	
          Gradient method with preconditioner	 1.03	    Compute complete	  0.034706	         2	
          Gradient method with preconditioner	 1.04	    Compute complete	  0.026986	         2	
          Gradient method with preconditioner	 1.05	    Compute complete	  0.030257	         2	
          Gradient method with preconditioner	 1.06	    Compute complete	  0.027062	         2	
          Gradient method with preconditioner	 1.07	    Compute complete	  0.026898	         2	
          Gradient method with preconditioner	 1.08	    Compute complete	  0.026957	         2	
          Gradient method with preconditioner	 1.09	    Compute complete	  0.026946	         2	
          Gradient method with preconditioner	  1.1	    Compute complete	  0.028761	         2	
          Gradient method with preconditioner	 1.11	    Compute complete	  0.026796	         2	
          Gradient method with preconditioner	 1.12	    Compute complete	  0.033775	         2	
          Gradient method with preconditioner	 1.13	    Compute complete	  0.029262	         2	
          Gradient method with preconditioner	 1.14	    Compute complete	  0.026736	         2	
          Gradient method with preconditioner	 1.15	    Compute complete	  0.027496	         2	
          Gradient method with preconditioner	 1.16	    Compute complete	  0.026293	         2	
          Gradient method with preconditioner	 1.17	    Compute complete	  0.029612	         2	
          Gradient method with preconditioner	 1.18	    Compute complete	  0.027118	         2	
          Gradient method with preconditioner	 1.19	    Compute complete	  0.027906	         2	
          Gradient method with preconditioner	  1.2	    Compute complete	   0.02614	         2	
          Gradient method with preconditioner	 1.21	    Compute complete	  0.035573	         2	
          Gradient method with preconditioner	 1.22	    Compute complete	  0.026682	         2	
          Gradient method with preconditioner	 1.23	    Compute complete	  0.026595	         2	
          Gradient method with preconditioner	 1.24	    Compute complete	  0.028082	         2	
          Gradient method with preconditioner	 1.25	    Compute complete	  0.027094	         2	
          Gradient method with preconditioner	 1.26	    Compute complete	  0.027163	         2	
          Gradient method with preconditioner	 1.27	    Compute complete	  0.026849	         2	
          Gradient method with preconditioner	 1.28	    Compute complete	  0.027166	         2	
          Gradient method with preconditioner	 1.29	    Compute complete	  0.030879	         2	
          Gradient method with preconditioner	  1.3	    Compute complete	  0.033684	         2	
