       Gradient method without preconditioner	 1.88	    Compute complete	   651.165	      7227	
       Gradient method without preconditioner	 1.89	    Compute complete	   603.371	      7227	
       Gradient method without preconditioner	  1.9	    Compute complete	   616.618	      7227	
       Gradient method without preconditioner	 1.91	    Compute complete	   649.864	      7227	
       Gradient method without preconditioner	 1.92	    Compute complete	   613.613	      7227	
       Gradient method without preconditioner	 1.93	    Compute complete	   611.749	      7227	
       Gradient method without preconditioner	 1.94	    Compute complete	   610.476	      7227	
       Gradient method without preconditioner	 1.95	    Compute complete	   602.853	      7227	
       Gradient method without preconditioner	 1.96	    Compute complete	   600.027	      7227	
       Gradient method without preconditioner	 1.97	    Compute complete	   599.063	      7227	
       Gradient method without preconditioner	 1.98	    Compute complete	   615.816	      7227	
       Gradient method without preconditioner	 1.99	    Compute complete	   609.672	      7227	
          Gradient method with preconditioner	  0.1	    Compute complete	   17.1218	         3	
          Gradient method with preconditioner	 0.11	    Compute complete	   16.5298	         3	
          Gradient method with preconditioner	 0.12	    Compute complete	    18.529	         3	
          Gradient method with preconditioner	 0.13	    Compute complete	   19.9299	         3	
          Gradient method with preconditioner	 0.14	    Compute complete	   20.5851	         3	
          Gradient method with preconditioner	 0.15	    Compute complete	        17	         3	
          Gradient method with preconditioner	 0.16	    Compute complete	   17.3756	         3	
          Gradient method with preconditioner	 0.17	    Compute complete	   20.3671	         3	
          Gradient method with preconditioner	 0.18	    Compute complete	   17.9311	         3	
          Gradient method with preconditioner	 0.19	    Compute complete	   17.9681	         3	
          Gradient method with preconditioner	  0.2	    Compute complete	   18.7461	         3	
          Gradient method with preconditioner	 0.21	    Compute complete	   18.7171	         3	
          Gradient method with preconditioner	 0.22	    Compute complete	    18.719	         3	
          Gradient method with preconditioner	 0.23	    Compute complete	   20.5171	         3	
          Gradient method with preconditioner	 0.24	    Compute complete	   18.0023	         3	
          Gradient method with preconditioner	 0.25	    Compute complete	   18.0976	         3	
          Gradient method with preconditioner	 0.26	    Compute complete	   17.8418	         3	
          Gradient method with preconditioner	 0.27	    Compute complete	   17.0277	         3	
          Gradient method with preconditioner	 0.28	    Compute complete	   17.3412	         3	
          Gradient method with preconditioner	 0.29	    Compute complete	     20.22	         3	
          Gradient method with preconditioner	  0.3	    Compute complete	   19.5183	         3	
          Gradient method with preconditioner	 0.31	    Compute complete	   17.8441	         3	
          Gradient method with preconditioner	 0.32	    Compute complete	   17.6727	         3	
          Gradient method with preconditioner	 0.33	    Compute complete	   17.4576	         3	
          Gradient method with preconditioner	 0.34	    Compute complete	   17.3468	         3	
          Gradient method with preconditioner	 0.35	    Compute complete	   20.0197	         3	
          Gradient method with preconditioner	 0.36	    Compute complete	   21.3599	         3	
          Gradient method with preconditioner	 0.37	    Compute complete	    18.818	         3	
          Gradient method with preconditioner	 0.38	    Compute complete	   17.0252	         3	
          Gradient method with preconditioner	 0.39	    Compute complete	   16.7584	         3	
          Gradient method with preconditioner	  0.4	    Compute complete	   16.7457	         3	
          Gradient method with preconditioner	 0.41	    Compute complete	   19.1638	         3	
          Gradient method with preconditioner	 0.42	    Compute complete	    17.306	         3	
          Gradient method with preconditioner	 0.43	    Compute complete	   17.2719	         3	
          Gradient method with preconditioner	 0.44	    Compute complete	   17.3948	         3	
          Gradient method with preconditioner	 0.45	    Compute complete	   17.2085	         3	
          Gradient method with preconditioner	 0.46	    Compute complete	   16.5792	         3	
          Gradient method with preconditioner	 0.47	    Compute complete	   18.5882	         3	
          Gradient method with preconditioner	 0.48	    Compute complete	   18.3808	         3	
          Gradient method with preconditioner	 0.49	    Compute complete	    16.592	         3	
          Gradient method with preconditioner	  0.5	    Compute complete	   17.4746	         3	
          Gradient method with preconditioner	 0.51	    Compute complete	   17.2775	         3	
          Gradient method with preconditioner	 0.52	    Compute complete	   17.2517	         3	
          Gradient method with preconditioner	 0.53	    Compute complete	   19.3268	         3	
          Gradient method with preconditioner	 0.54	    Compute complete	   17.0028	         3	
          Gradient method with preconditioner	 0.55	    Compute complete	   16.4963	         3	
          Gradient method with preconditioner	 0.56	    Compute complete	   16.4925	         3	
          Gradient method with preconditioner	 0.57	    Compute complete	   16.7763	         3	
          Gradient method with preconditioner	 0.58	    Compute complete	   17.2634	         3	
          Gradient method with preconditioner	 0.59	    Compute complete	   20.2158	         3	
          Gradient method with preconditioner	  0.6	    Compute complete	   17.3797	         3	
          Gradient method with preconditioner	 0.61	    Compute complete	   17.0316	         3	
          Gradient method with preconditioner	 0.62	    Compute complete	   16.5897	         3	
          Gradient method with preconditioner	 0.63	    Compute complete	   16.5088	         3	
          Gradient method with preconditioner	 0.64	    Compute complete	   16.5099	         3	
          Gradient method with preconditioner	 0.65	    Compute complete	   18.5364	         3	
          Gradient method with preconditioner	 0.66	    Compute complete	   18.2411	         3	
          Gradient method with preconditioner	 0.67	    Compute complete	   17.6013	         3	
          Gradient method with preconditioner	 0.68	    Compute complete	   17.0388	         3	
          Gradient method with preconditioner	 0.69	    Compute complete	    17.061	         3	
          Gradient method with preconditioner	  0.7	    Compute complete	   16.5431	         3	
          Gradient method with preconditioner	 0.71	    Compute complete	   18.1149	         3	
          Gradient method with preconditioner	 0.72	    Compute complete	   16.7712	         3	
          Gradient method with preconditioner	 0.73	    Compute complete	    17.018	         3	
          Gradient method with preconditioner	 0.74	    Compute complete	   17.2626	         3	
          Gradient method with preconditioner	 0.75	    Compute complete	   17.2507	         3	
          Gradient method with preconditioner	 0.76	    Compute complete	   17.0272	         3	
          Gradient method with preconditioner	 0.77	    Compute complete	   17.1872	         3	
          Gradient method with preconditioner	 0.78	    Compute complete	   16.4933	         3	
          Gradient method with preconditioner	 0.79	    Compute complete	   16.4949	         3	
          Gradient method with preconditioner	  0.8	    Compute complete	   16.7445	         3	
          Gradient method with preconditioner	 0.81	    Compute complete	   18.0722	         3	
          Gradient method with preconditioner	 0.82	    Compute complete	    19.094	         3	
          Gradient method with preconditioner	 0.83	    Compute complete	   17.3405	         3	
          Gradient method with preconditioner	 0.84	    Compute complete	   17.3009	         3	
          Gradient method with preconditioner	 0.85	    Compute complete	   18.6028	         3	
          Gradient method with preconditioner	 0.86	    Compute complete	   17.4111	         3	
          Gradient method with preconditioner	 0.87	    Compute complete	   16.4769	         3	
          Gradient method with preconditioner	 0.88	    Compute complete	   18.3919	         3	
          Gradient method with preconditioner	 0.89	    Compute complete	   16.5577	         3	
          Gradient method with preconditioner	  0.9	    Compute complete	   16.7598	         3	
          Gradient method with preconditioner	 0.91	    Compute complete	    17.497	         3	
          Gradient method with preconditioner	 0.92	    Compute complete	   17.5775	         3	
          Gradient method with preconditioner	 0.93	    Compute complete	   17.4462	         3	
          Gradient method with preconditioner	 0.94	    Compute complete	   18.8199	         3	
          Gradient method with preconditioner	 0.95	    Compute complete	   16.5458	         3	
          Gradient method with preconditioner	 0.96	    Compute complete	   16.5233	         3	
          Gradient method with preconditioner	 0.97	    Compute complete	   16.5369	         3	
          Gradient method with preconditioner	 0.98	    Compute complete	   17.4469	         3	
          Gradient method with preconditioner	 0.99	    Compute complete	   17.5857	         3	
          Gradient method with preconditioner	    1	    Compute complete	   18.9967	         3	
          Gradient method with preconditioner	 1.01	    Compute complete	   17.3479	         3	
          Gradient method with preconditioner	 1.02	    Compute complete	   17.2217	         3	
          Gradient method with preconditioner	 1.03	    Compute complete	    17.328	         3	
          Gradient method with preconditioner	 1.04	    Compute complete	   17.8482	         3	
          Gradient method with preconditioner	 1.05	    Compute complete	   17.5543	         3	
          Gradient method with preconditioner	 1.06	    Compute complete	   19.0975	         3	
          Gradient method with preconditioner	 1.07	    Compute complete	   17.6277	         3	
          Gradient method with preconditioner	 1.08	    Compute complete	   17.4719	         3	
          Gradient method with preconditioner	 1.09	    Compute complete	   16.7936	         3	
          Gradient method with preconditioner	  1.1	    Compute complete	   16.8821	         3	
          Gradient method with preconditioner	 1.11	    Compute complete	   16.4961	         3	
          Gradient method with preconditioner	 1.12	    Compute complete	   18.1978	         3	
          Gradient method with preconditioner	 1.13	    Compute complete	   17.2444	         3	
          Gradient method with preconditioner	 1.14	    Compute complete	   17.3215	         3	
          Gradient method with preconditioner	 1.15	    Compute complete	   17.4355	         3	
          Gradient method with preconditioner	 1.16	    Compute complete	   17.5014	         3	
          Gradient method with preconditioner	 1.17	    Compute complete	   17.4713	         3	
          Gradient method with preconditioner	 1.18	    Compute complete	   19.0359	         3	
          Gradient method with preconditioner	 1.19	    Compute complete	   16.7541	         3	
          Gradient method with preconditioner	  1.2	    Compute complete	   17.4252	         3	
          Gradient method with preconditioner	 1.21	    Compute complete	   16.8056	         3	
          Gradient method with preconditioner	 1.22	    Compute complete	   18.1954	         3	
          Gradient method with preconditioner	 1.23	    Compute complete	   17.5459	         3	
          Gradient method with preconditioner	 1.24	    Compute complete	   19.3185	         3	
          Gradient method with preconditioner	 1.25	    Compute complete	   18.1287	         3	
          Gradient method with preconditioner	 1.26	    Compute complete	   17.9905	         3	
          Gradient method with preconditioner	 1.27	    Compute complete	   16.8303	         3	
          Gradient method with preconditioner	 1.28	    Compute complete	   16.5435	         3	
          Gradient method with preconditioner	 1.29	    Compute complete	   16.4992	         3	
          Gradient method with preconditioner	  1.3	    Compute complete	   18.1945	         3	
          Gradient method with preconditioner	 1.31	    Compute complete	   17.4238	         3	
          Gradient method with preconditioner	 1.32	    Compute complete	   17.5432	         3	
          Gradient method with preconditioner	 1.33	    Compute complete	   17.4467	         3	
          Gradient method with preconditioner	 1.34	    Compute complete	   16.7935	         3	
          Gradient method with preconditioner	 1.35	    Compute complete	    16.787	         3	
          Gradient method with preconditioner	 1.36	    Compute complete	   18.4376	         3	
          Gradient method with preconditioner	 1.37	    Compute complete	   16.5442	         3	
          Gradient method with preconditioner	 1.38	    Compute complete	   17.2523	         3	
          Gradient method with preconditioner	 1.39	    Compute complete	   17.3866	         3	
          Gradient method with preconditioner	  1.4	    Compute complete	   19.0568	         3	
          Gradient method with preconditioner	 1.41	    Compute complete	   18.6304	         3	
